a,b,c,d,e
EXPLEO SOLUTIONS LTD,EXPLEOSOL,EXPLEOSOL,Computers - Software - Medium / Small,https://halalstock.in/is-expleo-solutions-ltd-halal-and-shariah-compliant/
EXXARO TILES LTD,EXXARO,EXXARO,Ceramics - Tiles / Sanitaryware,https://halalstock.in/is-exxaro-tiles-ltd-halal-and-shariah-compliant/
Eyantra Ventures Ltd,EY,,Diversified Commercial Services,https://halalstock.in/is-eyantra-ventures-ltd-halal-and-shariah-compliant/
Faalcon Concepts Ltd,FAALCON,,Industrial Products,https://halalstock.in/is-faalcon-concepts-ltd-halal-and-shariah-compliant/
Fabino Enterprises Ltd,FABINO,,Pharmaceuticals,https://halalstock.in/is-fabino-enterprises-ltd-halal-and-shariah-compliant/
Fabtech Technologies Cleanrooms Ltd,FABCLEAN,,Industrial Products,https://halalstock.in/is-fabtech-technologies-cleanrooms-ltd-halal-and-shariah-compliant/
FACOR ALLOYS LTD.,FACORALL,,Mining / Minerals / Metals,https://halalstock.in/is-facor-alloys-ltd-halal-and-shariah-compliant/
FAIRCHEM ORGANICS LTD,FAIRCHEMOR,FAIRCHEMOR,Chemicals,https://halalstock.in/is-fairchem-organics-ltd-halal-and-shariah-compliant/
FALCON TECHNOPROJECTS INDIA LIMITED,,FALCONTECH,Diversified Commercial Services,https://halalstock.in/is-falcon-technoprojects-india-limited-halal-and-shariah-compliant/
Family Care Hospitals Ltd,FAMILYCARE,,Healthcare,https://halalstock.in/is-scandent-imaging-limited-halal-and-shariah-compliant/
FAZE THREE AUTOFAB LTD,FAZE3AUTO,,Textiles - Processing,https://halalstock.in/is-faze-three-autofab-ltd-halal-and-shariah-compliant/
FAZE THREE LTD.,FAZE3Q,FAZE3Q,Textiles - Processing,https://halalstock.in/is-faze-three-ltd-halal-and-shariah-compliant/
FDC LTD.,FDC,FDC,Pharmaceuticals - Indian - Bulk Drugs &amp; Formln,https://halalstock.in/is-fdc-ltd-halal-and-shariah-compliant/
FEDERAL-MOGUL GOETZE (INDIA) LTD.,FMGOETZE,FMGOETZE,Auto Ancillaries,https://halalstock.in/is-federal-mogul-goetze-india-ltd-halal-and-shariah-compliant/
FERMENTA BIOTECH LTD,FERMENTA,,Pharmaceuticals - Indian - Bulk Drugs,https://halalstock.in/is-fermenta-biotech-ltd-halal-and-shariah-compliant/
FERTILIZERS &amp; CHEMICALS TRAVANCORE LTD.,FACT,FACT,Fertilizers,https://halalstock.in/is-fertilizers-chemicals-travancore-ltd-halal-and-shariah-compliant/
FGP Ltd,FGP,,Non Banking Financial Company,https://halalstock.in/is-fgp-ltd-halal-and-shariah-compliant/
FIBERWEB (INDIA) LTD.,FIBERWEB,FIBERWEB,Textiles - Products,https://halalstock.in/is-fiberweb-india-ltd-halal-and-shariah-compliant/
FIDEL SOFTECH LIMITED,,FIDEL,Computers - Software &amp; Consulting,https://halalstock.in/is-fidel-softech-limited-halal-and-shariah-compliant/
FIEM INDUSTRIES LTD.,FIEMIND,FIEMIND,Auto Ancillaries,https://halalstock.in/is-fiem-industries-ltd-halal-and-shariah-compliant/
FILATEX FASHIONS LTD.,FILATFASH,FILATFASH,Textiles - Products,https://halalstock.in/is-filatex-fashions-ltd-halal-and-shariah-compliant/
FILATEX INDIA LTD.,FILATEX,FILATEX,Textiles - Manmade,https://halalstock.in/is-filatex-india-ltd-halal-and-shariah-compliant/
FILTRA CONSULTANTS AND ENGINEERS LTD,FILTRA,,Engineering,https://halalstock.in/is-filtra-consultants-and-engineers-ltd-halal-and-shariah-compliant/
FINE ORGANIC INDUSTRIES LTD,FINEORG,FINEORG,Chemicals,https://halalstock.in/is-fine-organic-industries-ltd-halal-and-shariah-compliant/
FINE-LINE CIRCUITS LTD.,FINELINE,,Electronics - Components,https://halalstock.in/is-fine-line-circuits-ltd-halal-and-shariah-compliant/
Finelistings Technologies Ltd,FTL,,E-Retail/ E-Commerce,https://halalstock.in/is-finelistings-technologies-ltd-halal-and-shariah-compliant/
FINEOTEX CHEMICAL LTD.,FCL,FCL,Chemicals,https://halalstock.in/is-fineotex-chemical-ltd-halal-and-shariah-compliant/
FINOLEX CABLES LTD.,FINCABLES,FINCABLES,Cables - Power,https://halalstock.in/is-finolex-cables-ltd-halal-and-shariah-compliant/
FINOLEX INDUSTRIES LTD.,FINOLEXIND,FINPIPE,Plastics Products,https://halalstock.in/is-finolex-industries-ltd-halal-and-shariah-compliant/
First Fintec Ltd,FIRSTFIN,,IT Software Products,https://halalstock.in/is-first-fintec-ltd-halal-and-shariah-compliant/
FIRSTSOURCE SOLUTIONS LTD.,FSL,FSL,Computers - Software - Medium / Small,https://halalstock.in/is-firstsource-solutions-ltd-halal-and-shariah-compliant/
Flair Writing Industries,Flair,FLAIR,Stationary,https://halalstock.in/is-flair-writing-industries-halal-and-shariah-compliant/
FLUIDOMAT LTD.,FLUIDOM,,Engineering,https://halalstock.in/is-fluidomat-ltd-halal-and-shariah-compliant/
FlySBS Aviation Limited,,FLYSBS,Airline,https://halalstock.in/is-flysbs-aviation-limited-halal-and-shariah-compliant/
Foce India Limited,,FOCE,Consumer / Cyclical,https://halalstock.in/is-foce-india-limited-halal-and-shariah-compliant/
FOCUS LIGHTING,,FOCUS,Electric Equipment,https://halalstock.in/is-focus-lighting-halal-and-shariah-compliant/
Fonebox,,FONEBOX,Trading,https://halalstock.in/is-fonebox-halal-and-shariah-compliant/
Forcas Studio Limited,,FORCAS,Garments &amp; Apparels,https://halalstock.in/is-forcas-studio-limited-halal-and-shariah-compliant/
FORCE MOTORS LTD.,FORCEMOT,FORCEMOT,Automobiles - LCVs / HCVs,https://halalstock.in/is-force-motors-ltd-halal-and-shariah-compliant/
Forge Auto International Limited,,FORGEAUTO,Castings &amp; Forgings,https://halalstock.in/is-forge-auto-international-limited-halal-and-shariah-compliant/
FORTIS HEALTHCARE LTD.,FORTIS,FORTIS,Healthcare,https://halalstock.in/is-fortis-healthcare-ltd-halal-and-shariah-compliant/
FORTUNE INTERNATIONAL LTD.,FORINTL,,Trading,https://halalstock.in/is-fortune-international-ltd-halal-and-shariah-compliant/
FOSECO INDIA LTD.,FOSECOIND,FOSECOIND,Chemicals,https://halalstock.in/is-foseco-india-ltd-halal-and-shariah-compliant/
FOURTH DIMENSION SOLUTIONS LIMITED,,FOURTHDIM,Miscellaneous,https://halalstock.in/is-fourth-dimension-solutions-limited-halal-and-shariah-compliant/
Freshara Agro Exports Limited,,Freshara,Other Food Products,https://halalstock.in/is-freshara-agro-exports-limited-halal-and-shariah-compliant/
FRESHTROP FRUITS LTD.,FRSHTRP,,Food - Processing - Indian,https://halalstock.in/is-freshtrop-fruits-ltd-halal-and-shariah-compliant/
FROG CELLSAT LIMITED,,FROG,Telecom - Equipment &amp; Accessories,https://halalstock.in/is-frog-cellsat-limited-halal-and-shariah-compliant/
FRONTIER SPRINGS LTD.,FRONTSP,,Auto Ancillaries,https://halalstock.in/is-frontier-springs-ltd-halal-and-shariah-compliant/
FSN E-Commerce Ventures Ltd,NYKAA,NYKAA,Internet &amp; Catalogue Retail,https://halalstock.in/is-fsn-e-commerce-ventures-ltd-halal-and-shariah-compliant/
Fujiyama Power Systems Limited,UTLSOLAR,UTLSOLAR,Other Electrical Equipment,https://halalstock.in/is-fujiyama-power-systems-limited-halal-and-shariah-compliant/
G G ENGINEERING LTD,GGENG,,Engines,https://halalstock.in/is-g-g-engineering-ltd-halal-and-shariah-compliant/
G M POLYPLAST LTD,GMPL,,Plastics Products,https://halalstock.in/is-g-m-polyplast-ltd-halal-and-shariah-compliant/
G N A AXLES LTD,GNA,GNA,Auto Ancillaries,https://halalstock.in/is-g-n-a-axles-ltd-halal-and-shariah-compliant/
G. K. P. PRINTING &amp; PACKAGING LTD,GKP,,Paper,https://halalstock.in/is-g-k-p-printing-packaging-ltd-halal-and-shariah-compliant/
GABRIEL INDIA LTD.,GABRIEL,GABRIEL,Auto Ancillaries,https://halalstock.in/is-gabriel-india-ltd-halal-and-shariah-compliant/
Gabriel Pet Straps Ltd,GPSL,,Other Industrial Products,https://halalstock.in/is-gabriel-pet-straps-ltd-halal-and-shariah-compliant/
GACM Tech,GATECH,GATECH,Miscellaneous,https://halalstock.in/is-gacm-tech-halal-and-shariah-compliant/
GAGAN GASES LTD.,GAGAN,,Chemicals,https://halalstock.in/is-gagan-gases-ltd-halal-and-shariah-compliant/
GAIL (INDIA) LTD.,GAIL,GAIL,Miscellaneous,https://halalstock.in/is-gail-india-ltd-halal-and-shariah-compliant/
Gajanand International Limited,,GAJANAND,Other Textile Products,https://halalstock.in/is-gajanand-international-limited-halal-and-shariah-compliant/
Gala Precision Engineering Limited,GALAPREC,GALAPREC,Industrial Products,https://halalstock.in/is-gala-precision-engineering-limited-halal-and-shariah-compliant/
GALAXY AGRICO EXPORTS LTD,GALAGEX,,Industrial Machinery.,https://halalstock.in/is-galaxy-agrico-exports-ltd-halal-and-shariah-compliant/
GALAXY BEARINGS LTD.,GALXBRG,,Bearings,https://halalstock.in/is-galaxy-bearings-ltd-halal-and-shariah-compliant/
GALAXY CLOUD KITCHENS LTD,GCKL,,Trading - manufacturing of food products,https://halalstock.in/is-galaxy-cloud-kitchens-ltd-halal-and-shariah-compliant/
Galaxy Medicare ltd,,GML,Medical Equipment &amp; Supplies,https://halalstock.in/is-galaxy-medicare-ltd-halal-and-shariah-compliant/
GALAXY SURFACTANTS LTD,GALAXYSURF,GALAXYSURF,Detergents / Intermediates,https://halalstock.in/is-galaxy-surfactants-ltd-halal-and-shariah-compliant/
GALLANTT ISPAT LTD.,GALLISPAT,,Steel - Sponge Iron,https://halalstock.in/is-gallantt-ispat-ltd-halal-and-shariah-compliant/
Gallard Steel Ltd,GALLARD,,Auto Components &amp; Equipments,https://halalstock.in/is-gallard-steel-ltd-halal-and-shariah-compliant/
Game Changers Texfab Limited,TRADEUNO,,Other Textile Products,https://halalstock.in/is-game-changers-texfab-limited-halal-and-shariah-compliant/
Gandhar Oil Refinery (India) Ltd,GANDHAR,GANDHAR,Lubricants,https://halalstock.in/is-gandhar-oil-refinery-india-ltd-halal-and-shariah-compliant/
GANDHI SPECIAL TUBES LTD.,GANDHITUBE,GANDHITUBE,Steel - Medium / Small,https://halalstock.in/is-gandhi-special-tubes-ltd-halal-and-shariah-compliant/
GANESH BENZOPLAST LTD.,GANESHBE,GANESHBE,Chemicals,https://halalstock.in/is-ganesh-benzoplast-ltd-halal-and-shariah-compliant/
Ganesh Consumer Products,,GANESHCP,Packaged Foods,https://halalstock.in/is-ganesh-consumer-products-halal-and-shariah-compliant/
GANESH GREEN BHARAT LIMITED,,GGBL,Civil Construction,https://halalstock.in/is-ganesh-green-bharat-limited-halal-and-shariah-compliant/
GANESH HOUSING CORPORATION LTD.,GANESHHOUC,GANESHHOUC,Construction,https://halalstock.in/is-ganesh-housing-corporation-ltd-halal-and-shariah-compliant/
Ganesh Infraworld Limited,,GANESHIN,Construction,https://halalstock.in/is-ganesh-infraworld-limited-halal-and-shariah-compliant/
Ganga Bath Fittings Ltd,,GANGABATH,Sanitary Ware,https://halalstock.in/is-ganga-bath-fittings-ltd-halal-and-shariah-compliant/
GANGA FORGING,,GANGAFORGE,Castings &amp; Forgings,https://halalstock.in/is-ganga-forging-halal-and-shariah-compliant/
GARDEN REACH SHIPBUILDERS &amp; ENGINEERS LTD,GRSE,GRSE,Miscellaneous,https://halalstock.in/is-garden-reach-shipbuilders-engineers-ltd-halal-and-shariah-compliant/
GARG FURNACE LTD.,GARGFUR,,Steel - Medium / Small,https://halalstock.in/is-garg-furnace-ltd-halal-and-shariah-compliant/
Garuda Construction and Engineering Limited,GARUDA,GARUDA,Civil Construction,https://halalstock.in/is-garuda-construction-and-engineering-limited-halal-and-shariah-compliant/
GARWARE HI-TECH FILMS LTD,GRWRHITECH,GRWRHITECH,Packaging,https://halalstock.in/is-garware-hi-tech-films-ltd-halal-and-shariah-compliant/
GARWARE MARINE INDUSTRIES LTD.,GARWAMAR,,Miscellaneous,https://halalstock.in/is-garware-marine-industries-ltd-halal-and-shariah-compliant/
GARWARE TECHNICAL FIBRES LTD,GARFIBRES,GARFIBRES,Textiles - Products,https://halalstock.in/is-garware-technical-fibres-ltd-halal-and-shariah-compliant/
GATEWAY DISTRIPARKS LTD.,GDL,GATEWAY,Miscellaneous,https://halalstock.in/is-gateway-distriparks-ltd-halal-and-shariah-compliant/
GAUTAM GEMS LTD,GGL,,Diamond Cutting / Jewellery,https://halalstock.in/is-gautam-gems-ltd-halal-and-shariah-compliant/
Gayatri Rubbers and Chemicals Ltd.,,GRCL,Rubber,https://halalstock.in/is-gayatri-rubbers-and-chemicals-ltd-halal-and-shariah-compliant/
GB Logistics Commerce Ltd,GBLOGISTIC,,Logistics Solution Provider,https://halalstock.in/is-gb-logistics-commerce-ltd-halal-and-shariah-compliant/
GBL INDUSTRIES LTD,GBLIL,,Chemicals,https://halalstock.in/is-gbl-industries-ltd-halal-and-shariah-compliant/
GCONNECT LOGITECH AND SUPPLY CHAIN LIMITED,GCONNECT,,Logistics Solution Provider,https://halalstock.in/is-gconnect-logitech-and-supply-chain-limited-halal-and-shariah-compliant/
GE POWER INDIA LTD,GEPIL,GEPIL,Engineering - Turnkey Services,https://halalstock.in/is-ge-power-india-ltd-halal-and-shariah-compliant/
GE Vernova T&amp;D India Limited,GVTD,GVT&amp;D,Heavy Electrical Equipment,https://halalstock.in/is-ge-vernova-td-india-limited-halal-and-shariah-compliant/
GEE LTD.,GEE,,Electrodes - Welding Equipment,https://halalstock.in/is-gee-ltd-halal-and-shariah-compliant/
GEEKAY WIRES,,GEEKAYWIRE,Cables - Power,https://halalstock.in/is-geekay-wires-halal-and-shariah-compliant/
Gem Aromatics Ltd,GEMAROMA,GEMAROMA,Specialty Chemicals,https://halalstock.in/is-gem-aromatics-ltd-halal-and-shariah-compliant/
GEM Enviro Management Ltd,GEMENVIRO,,Waste Management,https://halalstock.in/is-gem-enviro-management-ltd-halal-and-shariah-compliant/
GEM SPINNERS INDIA LTD.,GEMSPIN,,Textiles - Cotton/Blended,https://halalstock.in/is-gem-spinners-india-ltd-halal-and-shariah-compliant/
GENERIC ENGINEERING CONSTRUCTION AND PROJECTS LTD,GENCON,GENCON,Construction,https://halalstock.in/is-generic-engineering-construction-and-projects-ltd-halal-and-shariah-compliant/
GENESIS IBRC INDIA LTD,GENESIS,,Miscellaneous,https://halalstock.in/is-genesis-ibrc-india-ltd-halal-and-shariah-compliant/
GENESYS INTERNATIONAL CORPORATION LTD.,GENESYS,GENESYS,Computers - Software - Medium / Small,https://halalstock.in/is-genesys-international-corporation-ltd-halal-and-shariah-compliant/
GENUS POWER INFRASTRUCTURES LTD.,GENUSPOWER,GENUSPOWER,Electronics - Components,https://halalstock.in/is-genus-power-infrastructures-ltd-halal-and-shariah-compliant/
GG Automotive Gears Ltd,GGAUTO,,Auto Components &amp; Equipments,https://halalstock.in/is-gg-automotive-gears-ltd-halal-and-shariah-compliant/
GHCL LTD.,GHCL,GHCL,Chemicals,https://halalstock.in/is-ghcl-ltd-halal-and-shariah-compliant/
GHCL Textiles,GHCLTEXTIL,GHCLTEXTIL,Textiles - Spinning - Synthetic / Blended,https://halalstock.in/is-ghcl-textiles-halal-and-shariah-compliant/
GHV Infra Projects Ltd,GHVINFRA,,Civil Construction,https://halalstock.in/is-ghv-infra-projects-ltd-halal-and-shariah-compliant/
GIAN LIFE CARE LTD,GIANLIFE,,Healthcare,https://halalstock.in/is-gian-life-care-ltd-halal-and-shariah-compliant/
GILLETTE INDIA LTD.,GILLETTE,GILLETTE,Personal Care - Multinational,https://halalstock.in/is-gillette-india-ltd-halal-and-shariah-compliant/
GINI SILK MILLS LTD,GINISILK,,Trading &amp; Distributors,https://halalstock.in/is-gini-silk-mills-ltd-halal-and-shariah-compliant/
GINNI FILAMENTS LTD.,GINNIFILA,GINNIFILA,Textiles - Cotton/Blended,https://halalstock.in/is-ginni-filaments-ltd-halal-and-shariah-compliant/
GIRIRAJ CIVIL,,GIRIRAJ,Construction,https://halalstock.in/is-giriraj-civil-halal-and-shariah-compliant/
GK Energy,GKENERGY,GKENERGY,Civil Construction,https://halalstock.in/is-gk-energy-halal-and-shariah-compliant/
GKB OPHTHALMICS LTD.,GKB,,Personal Care - Indian,https://halalstock.in/is-gkb-ophthalmics-ltd-halal-and-shariah-compliant/
GLAND PHARMA LTD,GLAND,GLAND,Pharmaceuticals - Indian - Bulk Drugs,https://halalstock.in/is-gland-pharma-ltd-halal-and-shariah-compliant/
GLAXOSMITHKLINE PHARMACEUTICALS LTD.,GLAXO,GLAXO,Pharmaceuticals - Multinational,https://halalstock.in/is-glaxosmithkline-pharmaceuticals-ltd-halal-and-shariah-compliant/
GLENMARK LIFE SCIENCES LTD,GLS,GLS,Pharmaceuticals - Indian - Bulk Drugs &amp; Formln,https://halalstock.in/is-glenmark-life-sciences-ltd-halal-and-shariah-compliant/
GLENMARK PHARMACEUTICALS LTD.,GLENMARK,GLENMARK,Pharmaceuticals - Indian - Bulk Drugs &amp; Formln,https://halalstock.in/is-glenmark-pharmaceuticals-ltd-halal-and-shariah-compliant/
GLITTEK GRANITES LTD.,GLITTEKG,,Miscellaneous,https://halalstock.in/is-glittek-granites-ltd-halal-and-shariah-compliant/
GLOBAL EDUCATION,,GLOBAL,Miscellaneous,https://halalstock.in/is-global-education-halal-and-shariah-compliant/
Global Health Ltd,MEDANTA,MEDANTA,Hospitals,https://halalstock.in/is-global-health-ltd-halal-and-shariah-compliant/
GLOBAL OFFSHORE SERVICES LTD.,GLOBOFFS,,Shipping,https://halalstock.in/is-global-offshore-services-ltd-halal-and-shariah-compliant/
Global Pet Industries Ltd,,GLOBALPET,Industrial Products,https://halalstock.in/is-global-pet-industries-ltd-halal-and-shariah-compliant/
Global Surfaces Ltd,GSLSU,GSLSU,Granites &amp; Marbles,https://halalstock.in/is-global-surfaces-ltd-halal-and-shariah-compliant/
GLOBALSPACE TECHNOLOGIES LTD,GSTL,,Computers - Software - Medium / Small,https://halalstock.in/is-globalspace-technologies-ltd-halal-and-shariah-compliant/
Globe Civil Projects Ltd,GLOBECIVIL,GLOBECIVIL,Civil Construction,https://halalstock.in/is-globe-civil-projects-ltd-halal-and-shariah-compliant/
Globe Intl. Car.,,GICL,Miscellaneous,https://halalstock.in/is-globe-intl-car-halal-and-shariah-compliant/
Globesecure Tech,,GSTL,Computers - Software - Medium / Small,https://halalstock.in/is-globesecure-tech-halal-and-shariah-compliant/
Globtier Infotech Ltd,GLOBTIER,,IT Enabled Services,https://halalstock.in/is-globtier-infotech-ltd-halal-and-shariah-compliant/
Globus Constructors &amp; Developers Limited,GLOBUSCON,,"Textiles, Apparels &amp; Accessories",https://halalstock.in/is-globus-constructors-developers-limited-halal-and-shariah-compliant/
Glottis Ltd.,GLOTTIS,GLOTTIS,Logistics Solution Provider,https://halalstock.in/is-glottis-ltd-halal-and-shariah-compliant/
GMM PFAUDLER LTD.,GMM,GMMPFAUDLR,Engineering,https://halalstock.in/is-gmm-pfaudler-ltd-halal-and-shariah-compliant/
GNG Electronics Limited,EBGNG,EBGNG,Computers Hardware &amp; Equipments,https://halalstock.in/is-gng-electronics-limited-halal-and-shariah-compliant/
Go Fashion (India) Ltd,GOCOLORS,GOCOLORS,Other Apparels &amp; Accessories,https://halalstock.in/is-go-fashion-india-ltd-halal-and-shariah-compliant/
GOBLIN INDIA LTD,GOBLIN,,Trading,https://halalstock.in/is-goblin-india-ltd-halal-and-shariah-compliant/
GODAWARI POWER &amp; ISPAT LTD.,GPIL,GPIL,Steel - Medium / Small,https://halalstock.in/is-godawari-power-ispat-ltd-halal-and-shariah-compliant/
GODREJ AGROVET LTD,GODREJAGRO,GODREJAGRO,Food - Processing - Indian,https://halalstock.in/is-godrej-agrovet-ltd-halal-and-shariah-compliant/
GODREJ CONSUMER PRODUCTS LTD.,GODREJCP,GODREJCP,Personal Care - Indian,https://halalstock.in/is-godrej-consumer-products-ltd-halal-and-shariah-compliant/
Goel Construction Company Ltd,GOELCONS,,Civil Construction,https://halalstock.in/is-goel-construction-company-ltd-halal-and-shariah-compliant/
GOKALDAS EXPORTS LTD.,GOKEX,GOKEX,Textiles - Products,https://halalstock.in/is-gokaldas-exports-ltd-halal-and-shariah-compliant/
GOKUL AGRO RESOURCES LTD,GOKULAGRO,GOKULAGRO,Solvent Extraction,https://halalstock.in/is-gokul-agro-resources-ltd-halal-and-shariah-compliant/
GOLDKART JEWELS LIMITED,,GOLDKART,Gems Jewellery And Watches,https://halalstock.in/is-goldkart-jewels-limited-halal-and-shariah-compliant/
GOLDSTAR POWER,,GOLDSTAR,Electric Equipment,https://halalstock.in/is-goldstar-power-halal-and-shariah-compliant/
GOLDSTONE TECHNOLOGIES LTD.,GOLDTECH,GOLDTECH,Computers - Software - Medium / Small,https://halalstock.in/is-goldstone-technologies-ltd-halal-and-shariah-compliant/
GOLKUNDA DIAMONDS &amp; JEWELLERY LTD.,GOLKUNDIA,,Diamond Cutting / Jewellery,https://halalstock.in/is-golkunda-diamonds-jewellery-ltd-halal-and-shariah-compliant/
GOODRICKE GROUP LTD.,GOODRICKE,,Tea,https://halalstock.in/is-goodricke-group-ltd-halal-and-shariah-compliant/
GOODYEAR INDIA LTD.,GOODYEAR,,Tyres,https://halalstock.in/is-goodyear-india-ltd-halal-and-shariah-compliant/
Gopal Snacks Ltd,GOPAL,GOPAL,Packaged Foods,https://halalstock.in/is-gopal-snacks-ltd-halal-and-shariah-compliant/
